scorer,,,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel,ahrebel
bodyparts,,,left_pupil,left_pupil,right_pupil,right_pupil,corner_left,corner_left,corner_right,corner_right,nose,nose
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,30,img0032.png,302.17253938530166,258.6642049761292,352.3003521509328,256.7877627870414,291.9861389302537,260.0045208254776,365.9715738142867,257.0558259569111,330.05110905174894,288.1511536617945
labeled-data,30,img0162.png,302.9767288949107,261.07677350495635,352.56841532080244,257.59195229665045,290.9138862507749,261.07677350495635,364.3631947950686,255.98357327743236,328.7107932024005,288.41921683166424
labeled-data,30,img1194.png,302.17253938530166,262.1490261844351,351.49616264132374,258.12807863638983,291.1819494206446,262.1490261844351,365.1673843046776,257.59195229665045,327.3704773530521,290.8317853604914
labeled-data,30,img2101.png,302.9767288949107,254.10713108834454,351.7642258111934,254.10713108834454,291.4500125905143,254.64325742808393,362.2186894361111,254.9113205979536,327.1024141831824,282.2537639246615
labeled-data,30,img2243.png,299.4919076866048,258.3961418062595,347.47521509327845,258.12807863638983,287.16100187259934,258.3961418062595,361.1464367566324,258.3961418062595,324.15371931461584,285.202458793228
labeled-data,30,img2835.png,284.21230700403277,259.7364576556079,333.2678670901851,257.59195229665045,274.0259065489848,262.1490261844351,345.06264656445126,256.251636447302,312.3589398403497,288.1511536617945
labeled-data,30,img3054.png,283.14005432455406,262.4170893543048,332.4636775805761,258.12807863638983,271.3452748502879,264.02546837352287,345.06264656445126,257.3238891267808,309.67830814165285,288.41921683166424
labeled-data,30,img3238.png,282.335864814945,265.09772105300164,330.855298561358,259.7364576556079,270.27302217080916,265.633847392741,342.3820148657544,259.7364576556079,308.06992912243476,292.7082275495792
labeled-data,30,img4092.png,282.6039279848147,266.9741632420894,331.12336173122765,260.54064716521697,271.0772116804182,268.58254226130754,344.52652022471193,259.20033131586854,308.8741186320438,292.7082275495792
labeled-data,30,img4519.png,279.38716994637844,266.16997373248034,327.1024141831824,259.7364576556079,269.20076949133045,268.3144790914379,340.7736358465363,259.20033131586854,306.19348693334695,291.36791170023076
labeled-data,30,img5643.png,285.28455968351153,266.16997373248034,333.2678670901851,260.54064716521697,275.3662223983332,267.2422264119591,347.7432782631481,260.2725839953473,312.3589398403497,290.02759585088234
labeled-data,30,img6383.png,291.1819494206446,264.2935315433926,338.62913048757883,260.0045208254776,278.8510436066391,265.3657842228713,349.6197204522359,260.540647165217,314.2353820294375,290.5637221906217
labeled-data,30,img6656.png,288.23325455207805,264.02546837352287,335.6804356190123,260.54064716521697,278.8510436066391,266.43803690235006,350.1558467919753,260.540647165217,314.7715083691769,290.02759585088234
labeled-data,30,img7350.png,293.8625811193414,259.46839448573826,342.9181412054938,256.251636447302,283.14005432455406,261.34483667482607,352.56841532080244,256.7877627870414,317.7202032377434,281.1815112451827
labeled-data,30,img7597.png,298.15159183725643,257.3238891267808,345.59877290419064,256.251636447302,286.62487553285996,258.6642049761292,357.92967871819616,256.7877627870414,322.54534029539775,280.91344807531306
labeled-data,30,img7696.png,290.64582308090525,259.20033131586854,338.36106731770917,257.3238891267808,278.3149172668997,259.20033131586854,349.08359411249654,256.251636447302,315.03957153904656,278.7689427163556
labeled-data,30,img7883.png,289.5735704014265,255.98357327743236,337.2888146382304,253.0348784088658,280.19135945598754,256.7877627870414,349.3516572823662,254.10713108834454,316.11182421852527,277.6966900368768
labeled-data,30,img9051.png,287.16100187259934,259.20033131586854,334.60818293953355,255.98357327743236,276.9746014175513,260.54064716521697,346.4029624137997,255.44744693769297,312.8950661800891,281.7176375849221
labeled-data,30,img9327.png,273.75784337911506,244.1887938031662,322.27727712552803,239.3636567455119,262.76725341445797,243.9207306332965,334.0720565997942,238.55946723590282,300.83222353595323,266.43803690235006
